time,precip_u,precip_u_cor,tp_u,t_u
2022-06-29,0.0,0.0,,12.7
2022-06-30,0.0,0.0,0.0,5.2
2022-07-01,0.0,0.0,0.0,6.5
2022-07-02,0.0,0.0,0.0,7.7
2022-07-03,0.0,0.0,0.0,8.2
2022-07-04,0.0,0.0,0.0,14.0
2022-07-05,0.0,0.0,0.0,13.8
2022-07-06,0.0,0.0,0.0,9.8
2022-07-07,0.0,0.0,0.0,8.3
2022-07-08,0.0,0.0,0.0,7.6
2022-07-09,0.0,0.0,0.0,8.0
2022-07-10,0.0,0.0,0.0,8.4
2022-07-11,0.0,0.0,0.0,6.8
2022-07-12,0.0,0.0,0.0,9.4
2022-07-13,0.0,0.0,0.0,7.8
2022-07-14,0.0,0.0,0.0,9.6
2022-07-15,0.0,0.0,0.0,15.6
2022-07-16,0.0,0.0,0.0,14.4
2022-07-17,0.0,0.0,0.0,8.9
2022-07-18,0.0,0.0,0.0,12.8
2022-07-19,0.0,0.0,0.0,13.4
2022-07-20,0.0,0.0,0.0,16.0
2022-07-21,0.0,0.0,0.0,16.7
2022-07-22,0.5,0.6,0.6,14.8
2022-07-23,1.9,2.1,1.5,10.2
2022-07-24,4.3,4.6,2.5,7.8
2022-07-25,4.4,4.7,0.1,7.2
2022-07-26,4.4,4.7,0.0,7.1
2022-07-27,8.0,8.6,3.9,6.7
2022-07-28,8.4,9.0,0.4,9.6
2022-07-29,8.4,9.0,0.0,12.4
2022-07-30,8.8,9.5,0.5,12.9
2022-07-31,9.6,10.4,0.9,15.3
2022-08-01,9.6,10.4,0.0,15.9
2022-08-02,9.6,10.4,0.0,12.1
2022-08-03,9.6,10.4,0.0,12.9
2022-08-04,12.8,13.7,3.3,13.9
2022-08-05,18.0,19.2,5.4,9.4
2022-08-06,18.0,19.2,0.0,8.9
2022-08-07,18.0,19.2,0.0,8.2
2022-08-08,18.0,19.2,0.0,7.0
2022-08-09,19.4,20.7,1.5,6.5
2022-08-10,26.6,28.4,7.7,6.0
2022-08-11,27.8,29.6,1.2,7.5
2022-08-12,27.8,29.6,0.0,9.3
2022-08-13,27.8,29.6,0.0,12.7
2022-08-14,27.9,29.7,0.1,12.6
2022-08-15,31.6,34.0,4.4,12.9
2022-08-16,33.0,35.6,1.5,11.3
2022-08-17,41.0,44.1,8.6,6.9
2022-08-18,45.0,48.3,4.1,7.0
2022-08-19,45.6,48.9,0.7,5.9
2022-08-20,46.0,49.3,0.4,7.8
2022-08-21,46.0,49.3,0.0,8.6
2022-08-22,47.6,51.0,1.7,7.5
2022-08-23,72.8,78.3,27.3,9.9
2022-08-24,81.0,87.5,9.2,10.8
2022-08-25,81.0,87.5,0.0,12.5
2022-08-26,81.4,88.0,0.4,8.3
2022-08-27,85.1,91.9,3.9,6.1
2022-08-28,85.2,92.0,0.1,6.2
2022-08-29,85.2,92.0,0.0,7.9
2022-08-30,85.2,92.0,0.0,14.9
2022-08-31,85.2,92.0,0.0,8.9
2022-09-01,85.2,92.0,0.0,7.5
2022-09-02,88.2,95.4,3.5,14.3
2022-09-03,107.5,117.3,21.9,14.2
2022-09-04,110.6,120.8,3.4,13.9
2022-09-05,111.4,121.7,0.9,14.2
2022-09-06,119.8,130.9,9.2,9.6
2022-09-07,121.2,132.4,1.6,7.7
2022-09-08,121.2,132.4,0.0,7.2
2022-09-09,124.6,136.1,3.7,9.5
2022-09-10,126.4,138.1,1.9,12.1
2022-09-11,138.8,151.4,13.3,9.7
2022-09-12,152.7,166.6,15.2,8.8
2022-09-13,159.5,174.0,7.4,8.7
2022-09-14,162.9,177.7,3.7,9.9
2022-09-15,168.6,183.8,6.2,9.1
2022-09-16,169.4,184.7,0.8,5.8
2022-09-17,169.4,184.7,0.0,3.0
2022-09-18,170.3,185.6,0.9,9.3
2022-09-19,173.4,188.9,3.3,2.9
2022-09-20,175.6,191.2,2.3,0.8
2022-09-21,180.9,196.6,5.5,1.7
2022-09-22,186.3,202.4,5.7,3.6
2022-09-23,187.6,203.8,1.4,0.9
2022-09-24,187.8,204.0,0.2,1.1
2022-09-25,187.8,204.0,0.0,3.3
2022-09-26,187.8,204.0,0.0,4.2
2022-09-27,189.4,205.6,1.6,4.2
2022-09-28,191.8,208.2,2.6,4.0
2022-09-29,193.0,209.4,1.2,2.2
2022-09-30,193.0,209.4,0.0,1.8
2022-10-01,193.0,209.4,0.0,1.6
2022-10-02,193.0,209.4,0.0,-0.2
2022-10-03,193.0,209.4,0.0,-0.1
2022-10-04,193.0,209.4,0.0,3.2
2022-10-05,193.0,209.4,0.0,0.8
2022-10-06,193.0,209.4,0.0,-1.3
2022-10-07,193.0,209.4,0.0,-2.1
2022-10-08,193.0,209.4,0.0,-2.5
2022-10-09,193.0,209.4,0.0,-2.6
2022-10-10,193.0,209.4,0.0,-1.9
2022-10-11,193.0,209.4,0.0,0.8
2022-10-12,193.0,209.4,0.0,-1.1
2022-10-13,193.0,209.4,0.0,-3.2
2022-10-14,193.0,209.4,0.0,-2.2
2022-10-15,193.0,209.4,0.0,0.8
2022-10-16,194.6,211.1,1.7,6.4
2022-10-17,210.0,228.1,17.0,9.0
2022-10-18,216.9,235.8,7.7,6.0
2022-10-19,218.6,237.6,1.8,-1.9
2022-10-20,218.6,237.6,0.0,-3.5
2022-10-21,218.6,237.6,0.0,0.5
2022-10-22,220.4,239.6,2.0,6.9
2022-10-23,223.0,242.5,2.9,5.3
2022-10-24,223.0,242.5,0.0,2.2
2022-10-25,223.0,242.5,0.0,-1.1
2022-10-26,223.0,242.5,0.0,-2.1
2022-10-27,225.2,244.9,2.5,1.6
2022-10-28,231.2,251.7,6.8,0.6
2022-10-29,231.2,251.7,0.0,-0.6
2022-10-30,231.2,251.7,0.0,-2.0
2022-10-31,231.2,251.7,0.0,-5.3
2022-11-01,231.2,251.7,0.0,-4.0
2022-11-02,231.2,251.7,0.0,-7.5
2022-11-03,231.2,251.7,0.0,-2.2
2022-11-04,233.3,254.0,2.3,2.1
2022-11-05,236.6,257.6,3.6,-4.1
2022-11-06,236.6,257.6,0.0,-5.3
2022-11-07,236.6,257.6,0.0,-7.3
2022-11-08,236.6,257.6,0.0,-12.0
2022-11-09,236.6,257.6,0.0,-13.2
2022-11-10,236.6,257.6,0.0,-10.4
2022-11-11,236.6,257.6,0.0,-8.3
2022-11-12,236.6,257.6,0.0,-1.2
2022-11-13,236.6,257.6,0.0,4.3
2022-11-14,236.6,257.6,0.0,1.6
2022-11-15,236.6,257.6,0.0,0.1
2022-11-16,236.6,257.6,0.0,-5.4
2022-11-17,236.6,257.6,0.0,-7.7
2022-11-18,236.6,257.6,0.0,-7.3
2022-11-19,236.6,257.6,0.0,3.1
2022-11-20,236.6,257.6,0.0,-1.8
2022-11-21,236.6,257.6,0.0,1.3
