time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2021-06-17,0.0,0.0,,-8.8,0.0,0.0,,-8.8
2021-06-18,0.0,0.0,0.0,-11.9,0.0,0.0,0.0,-11.9
2021-06-19,0.0,0.0,0.0,-10.5,0.0,0.0,0.0,-10.5
2021-06-20,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.7
2021-06-21,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,-6.7
2021-06-22,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,-11.2
2021-06-23,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,-6.7
2021-06-24,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,-1.2
2021-06-25,0.0,0.0,0.0,-4.8,0.0,0.0,0.0,-4.8
2021-06-26,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-5.0
2021-06-27,0.0,0.0,0.0,-4.1,0.0,0.0,0.0,-4.1
2021-06-28,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,-1.0
2021-06-29,0.0,0.0,0.0,-6.1,0.0,0.0,0.0,-6.1
2021-06-30,0.0,0.0,0.0,-8.3,0.0,0.0,0.0,-8.5
2021-07-01,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.1
2021-07-02,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.7
2021-07-03,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,-3.8
2021-07-04,0.0,0.0,0.0,-2.3,0.0,0.0,0.0,-2.3
2021-07-05,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.7
2021-07-06,0.0,0.0,0.0,-7.2,0.0,0.0,0.0,-7.2
2021-07-07,0.0,0.0,0.0,-9.6,0.0,0.0,0.0,-9.6
2021-07-08,0.0,0.0,0.0,-10.2,0.0,0.0,0.0,-10.2
2021-07-09,0.0,0.0,0.0,-10.8,0.0,0.0,0.0,-10.8
2021-07-10,0.0,0.0,0.0,-7.9,0.0,0.0,0.0,-7.9
2021-07-11,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,-0.8
2021-07-12,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,-0.7
2021-07-13,0.0,0.0,0.0,-3.1,0.0,0.0,0.0,-2.9
2021-07-14,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,-2.1
2021-07-15,0.0,0.0,0.0,-4.4,0.0,0.0,0.0,-4.4
2021-07-16,0.0,0.0,0.0,-6.3,0.0,0.0,0.0,-6.2
2021-07-17,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,-3.5
2021-07-18,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,-1.7
2021-07-19,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2
2021-07-20,0.2,0.2,0.2,-3.8,0.0,0.0,0.0,-3.8
2021-07-21,0.2,0.2,0.0,-4.2,0.0,0.0,0.0,-4.2
2021-07-22,0.2,0.2,0.0,-8.2,0.0,0.0,0.0,-8.1
2021-07-23,0.2,0.2,0.0,-5.6,0.0,0.0,0.0,-5.6
2021-07-24,0.2,0.2,0.0,-7.1,0.0,0.0,0.0,-7.1
2021-07-25,0.2,0.2,0.0,-8.5,0.0,0.0,0.0,-8.6
2021-07-26,0.2,0.2,0.0,-4.6,0.0,0.0,0.0,-4.6
2021-07-27,1.1,1.3,1.1,1.4,1.1,1.3,1.3,1.4
2021-07-28,1.8,2.0,0.7,-0.2,2.0,2.3,1.0,-0.2
2021-07-29,1.8,2.0,0.0,-1.0,2.0,2.3,0.0,-1.1
2021-07-30,1.8,2.0,0.0,-0.5,2.0,2.3,0.0,-0.5
2021-07-31,1.8,2.0,0.0,-0.1,2.0,2.3,0.0,0.0
2021-08-01,1.8,2.0,0.0,-1.8,2.0,2.3,0.0,-1.8
2021-08-02,1.8,2.0,0.0,-1.4,2.0,2.3,0.0,-1.3
2021-08-03,1.8,2.0,0.0,-3.7,2.0,2.3,0.0,-3.7
2021-08-04,1.8,2.0,0.0,-4.2,2.0,2.3,0.0,-4.2
2021-08-05,1.8,2.0,0.0,-4.2,2.0,2.3,0.0,-4.2
2021-08-06,1.8,2.0,0.0,-3.9,2.0,2.3,0.0,-3.9
2021-08-07,1.8,2.0,0.0,-3.5,2.0,2.3,0.0,-3.5
2021-08-08,1.9,2.2,0.1,-4.3,2.0,2.3,0.0,-4.3
2021-08-09,2.0,2.2,0.1,-5.5,2.0,2.3,0.0,-5.4
2021-08-10,2.0,2.2,0.0,-5.5,2.0,2.3,0.0,-5.5
2021-08-11,2.0,2.2,0.0,-1.6,2.0,2.3,0.0,-1.6
2021-08-12,1.7,1.9,-0.4,-3.8,1.7,1.9,-0.4,-3.8
2021-08-13,0.0,0.0,-1.9,-10.8,0.0,0.0,-1.9,-10.8
2021-08-14,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,-3.0
2021-08-15,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,-3.9
2021-08-16,0.0,0.0,0.0,-3.6,0.0,0.0,0.0,-3.6
2021-08-17,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,-2.9
2021-08-18,0.0,0.0,0.0,-5.1,0.0,0.0,0.0,-5.2
2021-08-19,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-6.0
2021-08-20,0.0,0.0,0.0,-8.8,0.0,0.0,0.0,-8.8
2021-08-21,0.0,0.0,0.0,-6.1,0.0,0.0,0.0,-6.1
2021-08-22,0.6,0.7,0.7,-8.8,0.0,0.0,0.0,-8.8
2021-08-23,0.0,0.0,-0.7,-12.0,0.0,0.0,0.0,-12.0
2021-08-24,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,-4.3
2021-08-25,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,-4.3
2021-08-26,0.0,0.0,0.0,-5.2,0.0,0.0,0.0,-5.3
2021-08-27,0.0,0.0,0.0,-5.1,0.0,0.0,0.0,-5.2
2021-08-28,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-8.1
2021-08-29,0.0,0.0,0.0,-8.5,0.0,0.0,0.0,-8.5
2021-08-30,0.0,0.0,0.0,-13.9,0.0,0.0,0.0,-14.0
2021-08-31,0.0,0.0,0.0,-17.2,0.0,0.0,0.0,-17.3
2021-09-01,0.0,0.0,0.0,-12.9,0.0,0.0,0.0,-13.0
2021-09-02,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,-14.4
2021-09-03,0.0,0.0,0.0,-14.3,0.0,0.0,0.0,-14.4
2021-09-04,0.0,0.0,0.0,-12.3,0.0,0.0,0.0,-12.4
2021-09-05,0.0,0.0,0.0,-18.1,0.0,0.0,0.0,-18.1
2021-09-06,0.0,0.0,0.0,-23.5,0.0,0.0,0.0,-23.4
2021-09-07,0.0,0.0,0.0,-21.6,0.0,0.0,0.0,-21.6
2021-09-08,0.0,0.0,0.0,-24.4,0.0,0.0,0.0,-24.4
2021-09-09,0.0,0.0,0.0,-23.4,0.0,0.0,0.0,-23.5
2021-09-10,0.0,0.0,0.0,-21.5,0.0,0.0,0.0,-21.5
2021-09-11,0.0,0.0,0.0,-20.1,0.0,0.0,0.0,-20.1
2021-09-12,0.0,0.0,0.0,-17.4,0.0,0.0,0.0,-17.4
2021-09-13,0.0,0.0,0.0,-14.9,0.0,0.0,0.0,-14.9
2021-09-14,0.0,0.0,0.0,-14.8,0.0,0.0,0.0,-14.9
2021-09-15,0.0,0.0,0.0,-20.1,0.0,0.0,0.0,-20.0
2021-09-16,0.0,0.0,0.0,-18.2,0.0,0.0,0.0,-18.2
2021-09-17,0.0,0.0,0.0,-26.2,0.0,0.0,0.0,-26.3
2021-09-18,0.0,0.0,0.0,-22.4,0.0,0.0,0.0,-22.5
2021-09-19,0.0,0.0,0.0,-22.9,0.0,0.0,0.0,-23.0
2021-09-20,0.0,0.0,0.0,-31.3,0.0,0.0,0.0,-31.5
2021-09-21,0.0,0.0,0.0,-30.4,0.0,0.0,0.0,-30.5
2021-09-22,0.0,0.0,0.0,-23.9,0.0,0.0,0.0,-23.9
2021-09-23,0.0,0.0,0.0,-22.3,0.0,0.0,0.0,-22.2
2021-09-24,0.0,0.0,0.0,-24.1,0.0,0.0,0.0,-24.1
2021-09-25,0.0,0.0,0.0,-23.8,0.0,0.0,0.0,-23.8
2021-09-26,0.0,0.0,0.0,-23.2,0.0,0.0,0.0,-23.2
2021-09-27,0.0,0.0,0.0,-24.2,0.0,0.0,0.0,-24.2
2021-09-28,0.0,0.0,0.0,-17.8,0.0,0.0,0.0,-17.8
2021-09-29,0.0,0.0,0.0,-15.3,0.0,0.0,0.0,-15.4
2021-09-30,0.0,0.0,0.0,-20.4,0.0,0.0,0.0,-20.4
2021-10-01,0.0,0.0,0.0,-13.1,0.0,0.0,0.0,-13.2
2021-10-02,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,-11.6
2021-10-03,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,-17.1
2021-10-04,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,-21.0
2021-10-05,0.0,0.0,0.0,-17.8,0.0,0.0,0.0,-17.9
