time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2021-06-14,0.0,0.0,,-9.9,0.0,0.0,,-9.9
2021-06-15,0.0,0.0,0.0,-14.5,0.0,0.0,0.0,-14.1
2021-06-16,0.0,0.0,0.0,-10.3,0.0,0.0,0.0,-10.4
2021-06-17,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-12.8
2021-06-18,0.2,0.2,0.2,-10.6,0.1,0.1,0.1,-10.6
2021-06-19,0.6,0.6,0.4,-11.2,0.4,0.4,0.3,-11.3
2021-06-20,0.6,0.6,0.0,-6.2,0.4,0.4,0.0,-6.2
2021-06-21,0.6,0.6,0.0,-12.0,0.4,0.4,0.0,-11.8
2021-06-22,0.6,0.6,0.0,-11.4,0.4,0.4,0.0,-11.2
2021-06-23,0.6,0.6,0.0,-10.5,0.4,0.4,0.0,-10.4
2021-06-24,1.2,1.4,0.7,-2.4,1.0,1.1,0.6,-2.5
2021-06-25,3.8,4.3,2.9,-5.1,3.2,3.6,2.6,-5.1
2021-06-26,3.8,4.3,0.0,-2.6,3.3,3.7,0.1,-2.6
2021-06-27,3.8,4.3,0.0,-2.0,3.4,3.9,0.1,-2.0
2021-06-28,3.8,4.3,0.0,-3.3,3.4,3.9,0.0,-3.3
2021-06-29,3.8,4.3,0.0,-8.9,3.4,3.9,0.0,-8.8
2021-06-30,3.8,4.3,0.0,-10.8,3.4,3.9,0.0,-10.9
2021-07-01,3.8,4.3,0.0,-10.1,3.4,3.9,0.0,-10.0
2021-07-02,3.8,4.3,0.0,-10.5,3.4,3.9,0.0,-10.4
2021-07-03,3.8,4.3,0.0,-1.3,3.4,3.9,0.0,-1.4
2021-07-04,3.8,4.3,0.0,-2.0,3.4,3.9,0.0,-2.0
2021-07-05,3.8,4.3,0.0,-4.6,3.4,3.9,0.0,-4.7
2021-07-06,3.8,4.3,0.0,-6.5,3.4,3.9,0.0,-6.6
2021-07-07,3.8,4.3,0.0,-10.2,3.4,3.9,0.0,-10.2
2021-07-08,12.5,14.4,10.1,-13.1,3.4,3.9,0.0,-13.0
2021-07-09,49.1,56.6,42.2,-8.7,3.4,3.9,0.0,-8.7
2021-07-10,57.7,66.4,9.8,-7.5,3.4,3.9,0.0,-7.3
2021-07-11,76.8,88.2,21.9,-3.4,3.4,3.9,0.0,-3.4
2021-07-12,76.8,88.2,0.0,-2.2,3.4,3.9,0.0,-2.3
2021-07-13,76.8,88.2,0.0,-3.3,3.4,3.9,0.0,-3.4
2021-07-14,77.4,88.9,0.7,-2.0,3.7,4.2,0.3,-2.0
