time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2021-06-21,0.0,0.0,,-9.0,0.0,0.0,,-8.9
2021-06-22,0.0,0.0,0.0,-8.1,0.0,0.0,0.0,-6.9
2021-06-23,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.2
2021-06-24,4.2,4.3,4.3,0.3,2.0,2.1,2.1,0.2
2021-06-25,6.0,6.2,1.9,-5.1,3.4,3.5,1.4,-5.2
2021-06-26,6.0,6.2,0.0,-2.2,3.4,3.5,0.0,-2.2
2021-06-27,6.0,6.2,0.0,-3.9,3.4,3.5,0.0,-3.8
2021-06-28,6.0,6.2,0.0,-2.3,3.4,3.5,0.0,-2.4
2021-06-29,6.0,6.2,0.0,-9.9,3.4,3.5,0.0,-9.9
2021-06-30,6.0,6.2,0.0,-11.7,3.4,3.5,0.0,-11.5
2021-07-01,6.0,6.2,0.0,-10.2,3.4,3.5,0.0,-9.5
2021-07-02,6.0,6.2,0.0,-7.3,3.4,3.5,0.0,-7.1
2021-07-03,6.0,6.2,0.0,-2.9,3.5,3.6,0.1,-3.0
2021-07-04,6.0,6.2,0.0,-3.7,3.6,3.7,0.2,-3.5
2021-07-05,6.0,6.2,0.0,-4.4,3.6,3.7,0.0,-4.5
2021-07-06,6.0,6.2,0.0,-5.3,3.6,3.7,0.0,-5.4
2021-07-07,6.0,6.2,0.0,-11.9,3.6,3.7,0.0,-11.9
2021-07-08,6.0,6.2,0.0,-9.1,3.6,3.7,0.0,-8.8
2021-07-09,6.0,6.2,0.0,-5.6,3.6,3.7,0.0,-5.6
2021-07-10,6.0,6.2,0.0,-8.0,3.6,3.7,0.0,-7.7
2021-07-11,6.0,6.2,0.0,-5.8,3.6,3.7,0.0,-5.8
2021-07-12,6.0,6.2,0.0,-6.2,3.6,3.7,0.0,-6.3
2021-07-13,6.0,6.2,0.0,-5.5,3.6,3.7,0.0,-5.6
2021-07-14,6.2,6.4,0.2,-2.7,3.7,3.8,0.1,-2.7
2021-07-15,6.6,6.8,0.4,-6.1,4.0,4.1,0.3,-6.1
2021-07-16,6.6,6.8,0.0,-3.2,4.0,4.1,0.0,-2.4
2021-07-17,7.0,7.2,0.4,-0.3,4.4,4.6,0.4,-0.4
2021-07-18,8.3,8.7,1.5,0.6,5.9,6.3,1.8,0.6
2021-07-19,11.3,12.2,3.5,-1.0,9.3,10.2,3.9,-1.1
2021-07-20,11.6,12.5,0.3,-8.4,9.6,10.6,0.3,-8.2
2021-07-21,11.6,12.5,0.0,-4.3,9.6,10.6,0.0,-4.3
2021-07-22,11.6,12.5,0.0,-6.8,9.6,10.6,0.0,-6.9
2021-07-23,11.6,12.5,0.0,-9.9,9.6,10.6,0.0,-9.9
2021-07-24,12.3,13.2,0.7,-9.7,9.6,10.6,0.0,-9.7
2021-07-25,14.0,15.0,1.8,-13.8,9.6,10.6,0.0,-13.7
2021-07-26,14.0,15.0,0.0,-6.4,9.6,10.6,0.0,-6.3
2021-07-27,14.0,15.0,0.0,-2.6,9.6,10.6,0.0,-2.3
2021-07-28,14.0,15.0,0.0,-1.4,9.6,10.6,0.0,-1.4
2021-07-29,14.0,15.0,0.0,-2.7,9.6,10.6,0.0,-2.8
2021-07-30,14.0,15.0,0.0,-7.3,9.6,10.6,0.0,-7.3
2021-07-31,14.0,15.0,0.0,-3.6,9.6,10.6,0.0,-3.7
2021-08-01,14.0,15.0,0.0,-4.8,9.6,10.6,0.0,-4.8
2021-08-02,14.0,15.0,0.0,-5.3,9.6,10.6,0.0,-5.3
2021-08-03,14.0,15.0,0.0,-5.5,9.6,10.6,0.0,-5.6
2021-08-04,14.0,15.0,0.0,-5.4,9.6,10.6,0.0,-5.4
2021-08-05,14.0,15.0,0.0,-6.7,9.6,10.6,0.0,-6.7
2021-08-06,14.0,15.0,0.0,-8.3,9.6,10.6,0.0,-8.4
2021-08-07,14.0,15.0,0.0,-10.5,9.6,10.6,0.0,-10.3
2021-08-08,14.0,15.0,0.0,-10.9,9.6,10.6,0.0,-10.9
2021-08-09,14.0,15.0,0.0,-13.1,9.6,10.6,0.0,-13.0
2021-08-10,14.0,15.0,0.0,-8.1,9.6,10.6,0.0,-8.0
2021-08-11,14.0,15.0,0.0,-4.2,9.6,10.6,0.0,-4.2
2021-08-12,14.0,15.0,0.0,-7.5,9.6,10.6,0.0,-7.3
2021-08-13,14.0,15.0,0.0,-1.1,9.6,10.6,0.0,-0.6
2021-08-14,14.0,15.0,0.0,1.5,9.6,10.6,0.0,1.4
2021-08-15,14.1,15.1,0.2,0.1,9.6,10.6,0.0,-0.0
2021-08-16,16.4,17.6,2.5,1.0,11.7,12.9,2.3,1.0
2021-08-17,18.2,19.8,2.1,0.4,13.6,15.1,2.2,0.3
2021-08-18,18.6,20.2,0.4,-3.4,14.0,15.5,0.4,-3.4
2021-08-19,18.6,20.2,0.0,-5.5,14.0,15.5,0.0,-5.4
2021-08-20,18.6,20.2,0.0,-6.4,14.0,15.5,0.0,-6.3
2021-08-21,18.6,20.2,0.0,-6.3,14.0,15.5,0.0,-6.3
2021-08-22,18.6,20.2,0.0,-6.2,14.0,15.5,0.0,-6.2
2021-08-23,18.6,20.2,0.0,-6.9,14.0,15.5,0.0,-7.0
2021-08-24,18.6,20.2,0.0,-6.2,14.0,15.5,0.0,-6.1
2021-08-25,18.6,20.2,0.0,-6.8,14.0,15.5,0.0,-6.9
2021-08-26,18.6,20.2,0.0,-8.0,14.0,15.5,0.0,-8.0
2021-08-27,18.6,20.2,0.0,-10.3,14.0,15.5,0.0,-10.1
2021-08-28,18.6,20.2,0.0,-12.6,14.0,15.5,0.0,-12.7
2021-08-29,18.6,20.2,0.0,-9.3,14.0,15.5,0.0,-9.3
2021-08-30,18.6,20.2,0.0,-8.9,14.0,15.5,0.0,-8.7
2021-08-31,18.6,20.2,0.0,-4.1,14.0,15.5,0.0,-4.1
2021-09-01,18.6,20.2,0.0,-2.9,14.0,15.5,0.0,-2.9
2021-09-02,18.6,20.2,0.0,-4.1,14.0,15.5,0.0,-4.1
2021-09-03,18.6,20.2,0.0,-7.4,14.0,15.5,0.0,-7.3
2021-09-04,18.6,20.2,0.0,-16.1,14.0,15.5,0.0,-15.9
2021-09-05,18.6,20.2,0.0,-19.0,14.0,15.5,0.0,-18.8
2021-09-06,18.6,20.2,0.0,-15.5,14.0,15.5,0.0,-15.1
2021-09-07,18.6,20.2,0.0,-10.9,14.0,15.5,0.0,-10.0
2021-09-08,18.6,20.2,0.0,-6.3,14.0,15.5,0.0,-6.3
2021-09-09,18.6,20.2,0.0,-8.7,14.0,15.5,0.0,-8.6
2021-09-10,18.6,20.2,0.0,-11.8,14.0,15.5,0.0,-11.7
2021-09-11,18.6,20.2,0.0,-8.5,14.0,15.5,0.0,-8.5
2021-09-12,28.2,30.0,9.8,-16.7,16.4,18.0,2.5,-16.6
2021-09-13,31.8,33.6,3.6,-19.3,19.2,20.8,2.8,-19.3
2021-09-14,31.8,33.6,0.0,-18.1,19.4,21.0,0.2,-16.9
2021-09-15,31.8,33.6,0.0,-20.9,19.4,21.0,0.0,-20.1
2021-09-16,31.8,33.6,0.0,-18.1,19.4,21.0,0.0,-17.5
2021-09-17,31.8,33.6,0.0,-17.8,19.4,21.0,0.0,-17.4
2021-09-18,31.8,33.6,0.0,-14.8,19.4,21.0,0.0,-14.5
2021-09-19,31.8,33.6,0.0,-17.9,19.4,21.0,0.0,-17.4
2021-09-20,31.8,33.6,0.0,-24.4,19.4,21.0,0.0,-23.4
2021-09-21,31.8,33.6,0.0,-23.4,19.4,21.0,0.0,-23.3
2021-09-22,31.8,33.6,0.0,-18.2,19.4,21.0,0.0,-18.3
2021-09-23,31.8,33.6,0.0,-22.6,19.4,21.0,0.0,-22.4
2021-09-24,31.8,33.6,0.0,-27.5,19.4,21.0,0.0,-27.1
2021-09-25,31.8,33.6,0.0,-23.7,19.4,21.0,0.0,-23.3
2021-09-26,31.8,33.6,0.0,-21.7,19.4,21.0,0.0,-20.5
2021-09-27,31.8,33.6,0.0,-24.3,19.4,21.0,0.0,-23.1
2021-09-28,31.8,33.6,0.0,-21.2,19.4,21.0,0.0,-19.7
2021-09-29,31.8,33.6,0.0,-23.4,19.4,21.0,0.0,-22.3
2021-09-30,31.8,33.6,0.0,-23.0,19.4,21.0,0.0,-22.5
2021-10-01,31.8,33.6,0.0,-19.6,19.4,21.0,0.0,-19.1
2021-10-02,31.8,33.6,0.0,-15.1,19.4,21.0,0.0,-15.0
2021-10-03,31.8,33.6,0.0,-21.5,19.4,21.0,0.0,-20.9
2021-10-04,31.8,33.6,0.0,-16.7,19.4,21.0,0.0,-16.6
2021-10-05,31.8,33.6,0.0,-18.7,19.4,21.0,0.0,-18.1
2021-10-06,31.8,33.6,0.0,-18.7,19.4,21.0,0.0,-18.5
2021-10-07,31.8,33.6,0.0,-20.8,19.4,21.0,0.0,-20.5
2021-10-08,31.8,33.6,0.0,-22.2,19.4,21.0,0.0,-21.7
2021-10-09,31.8,33.6,0.0,-21.9,19.4,21.0,0.0,-21.0
2021-10-10,31.8,33.6,0.0,-16.0,19.4,21.0,0.0,-15.6
2021-10-11,31.8,33.6,0.0,-7.8,19.4,21.0,0.0,-7.1
2021-10-12,31.8,33.6,0.0,-12.5,19.4,21.0,0.0,-12.0
2021-10-13,31.8,33.6,0.0,-9.7,19.4,21.0,0.0,-8.2
2021-10-14,31.8,33.6,0.0,-12.7,19.4,21.0,0.0,-11.2
2021-10-15,31.8,33.6,0.0,-10.6,19.4,21.0,0.0,-8.8
2021-10-16,31.8,33.6,0.0,-18.7,19.4,21.0,0.0,-17.6
2021-10-17,31.8,33.6,0.0,-27.1,19.4,21.0,0.0,-25.9
2021-10-18,31.8,33.6,0.0,-27.4,19.4,21.0,0.0,-27.0
2021-10-19,31.8,33.6,0.0,-19.6,19.4,21.0,0.0,-18.6
2021-10-20,31.8,33.6,0.0,-15.4,19.4,21.0,0.0,-13.8
2021-10-21,31.8,33.6,0.0,-11.4,19.4,21.0,0.0,-9.9
2021-10-22,31.8,33.6,0.0,-8.4,19.4,21.0,0.0,-8.4
2021-10-23,31.8,33.6,0.0,-24.3,19.4,21.0,0.0,-23.9
2021-10-24,31.8,33.6,0.0,-30.1,19.4,21.0,0.0,-29.5
2021-10-25,34.6,36.5,2.9,-22.5,35.9,37.9,16.9,-22.4
2021-10-26,37.8,39.7,3.3,-20.4,55.4,57.8,19.8,-20.4
2021-10-27,37.8,39.7,0.0,-21.5,55.4,57.8,0.0,-20.6
2021-10-28,37.8,39.7,0.0,-24.9,55.4,57.8,0.0,-24.6
2021-10-29,37.8,39.7,0.0,-19.0,55.4,57.8,0.0,-18.9
2021-10-30,37.8,39.7,0.0,-18.7,55.4,57.8,0.0,-18.5
2021-10-31,37.8,39.7,0.0,-18.4,55.4,57.8,0.0,-18.3
2021-11-01,37.8,39.7,0.0,-18.0,55.4,57.8,0.0,-18.1
2021-11-02,37.8,39.7,0.0,-11.2,55.4,57.8,0.0,-11.1
2021-11-03,37.8,39.7,0.0,-16.8,55.4,57.8,0.0,-16.7
2021-11-04,37.8,39.7,0.0,-19.7,55.4,57.8,0.0,-19.5
2021-11-05,37.8,39.7,0.0,-27.8,55.4,57.8,0.0,-27.0
2021-11-06,37.8,39.7,0.0,-28.5,55.4,57.8,0.0,-28.0
2021-11-07,37.8,39.7,0.0,-28.8,55.4,57.8,0.0,-28.0
2021-11-08,37.8,39.7,0.0,-26.0,55.4,57.8,0.0,-25.8
2021-11-09,37.8,39.7,0.0,-29.8,55.4,57.8,0.0,-29.4
2021-11-10,,,,-25.7,55.4,57.8,0.0,-24.5
2021-11-11,,,,-25.9,55.4,57.8,0.0,-24.7
2021-11-12,,,,-24.3,55.4,57.8,0.0,-24.2
2021-11-13,37.8,39.7,,-30.1,55.4,57.8,0.0,-28.7
2021-11-14,37.8,39.7,0.0,-31.6,55.6,57.9,0.2,-31.7
2021-11-15,37.8,39.7,0.0,-36.0,64.6,67.2,9.2,-36.2
2021-11-16,37.8,39.7,0.0,-34.3,65.0,67.5,0.4,-34.1
2021-11-17,37.8,39.7,0.0,-25.7,65.0,67.5,0.0,-25.5
2021-11-18,37.8,39.7,0.0,-23.8,65.0,67.5,0.0,-23.5
2021-11-19,37.8,39.7,0.0,-30.3,65.0,67.5,0.0,-29.4
2021-11-20,37.8,39.7,0.0,-19.9,65.0,67.5,0.0,-19.8
2021-11-21,37.8,39.7,0.0,-17.5,65.0,67.5,0.0,-17.5
2021-11-22,37.8,39.7,0.0,-30.0,65.0,67.5,0.0,-30.1
2021-11-23,37.8,39.7,0.0,-30.0,65.0,67.5,0.0,-29.6
2021-11-24,37.8,39.7,0.0,-15.4,65.0,67.5,0.0,-15.4
2021-11-25,37.8,39.7,0.0,-13.8,65.0,67.5,0.0,-13.9
2021-11-26,37.8,39.7,0.0,-5.2,65.0,67.5,0.0,-5.2
2021-11-27,37.8,39.7,0.0,-3.5,65.0,67.5,0.0,-3.5
2021-11-28,37.8,39.7,0.0,-5.3,65.0,67.5,0.0,-5.3
2021-11-29,37.8,39.7,0.0,-15.9,65.0,67.5,0.0,-15.9
2021-11-30,37.8,39.7,0.0,-21.0,65.0,67.5,0.0,-21.1
2021-12-01,37.8,39.7,0.0,-19.2,65.0,67.5,0.0,-19.2
2021-12-02,37.8,39.7,0.0,-22.9,65.0,67.5,0.0,-23.3
2021-12-03,37.8,39.7,0.0,-30.9,65.0,67.5,0.0,-30.6
2021-12-04,40.7,42.7,3.0,-21.9,79.1,81.9,14.4,-21.7
2021-12-05,55.8,58.1,15.4,-22.8,260.8,267.3,185.4,-23.2
2021-12-06,55.8,58.1,0.0,-29.8,260.8,267.3,0.0,-30.0
2021-12-07,55.8,58.1,0.0,-32.3,260.8,267.3,0.0,-32.3
2021-12-08,55.8,58.1,0.0,-22.7,261.5,268.0,0.7,-22.7
2021-12-09,55.8,58.1,0.0,-22.0,266.1,272.7,4.7,-22.1
2021-12-10,55.8,58.1,0.0,-23.7,266.4,273.0,0.3,-23.6
2021-12-11,55.8,58.1,0.0,-22.9,266.4,273.0,0.0,-23.0
2021-12-12,55.8,58.1,0.0,-24.3,266.4,273.0,0.0,-23.8
2021-12-13,55.8,58.1,0.0,-19.6,266.4,273.0,0.0,-19.2
2021-12-14,55.8,58.1,0.0,-21.2,266.4,273.0,0.0,-21.1
2021-12-15,55.8,58.1,0.0,-25.7,266.4,273.0,0.0,-24.6
2021-12-16,,,,-27.0,,,,-26.4
2021-12-17,,,,-25.4,,,,-24.5
2021-12-18,55.8,58.1,,-23.0,266.4,273.0,,-22.6
2021-12-19,55.8,58.1,0.0,-18.1,266.4,273.0,0.0,-18.0
2021-12-20,55.8,58.1,0.0,-13.9,266.4,273.0,0.0,-13.9
2021-12-21,55.8,58.1,0.0,-15.8,266.4,273.0,0.0,-15.7
2021-12-22,55.8,58.1,0.0,-18.7,266.4,273.0,0.0,-18.6
2021-12-23,55.8,58.1,0.0,-21.9,266.4,273.0,0.0,-21.8
2021-12-24,55.8,58.1,0.0,-26.1,266.4,273.0,0.0,-25.7
2021-12-25,55.8,58.1,0.0,-19.7,266.4,273.0,0.0,-19.5
2021-12-26,55.8,58.1,0.0,-24.5,266.4,273.0,0.0,-23.8
2021-12-27,55.8,58.1,0.0,-25.7,266.4,273.0,0.0,-23.7
2021-12-28,55.8,58.1,0.0,-18.8,266.4,273.0,0.0,-16.5
2021-12-29,55.8,58.1,0.0,-21.7,266.4,273.0,0.0,-18.9
2021-12-30,55.8,58.1,0.0,-18.9,266.4,273.0,0.0,-17.9
2021-12-31,55.8,58.1,0.0,-26.1,266.4,273.0,0.0,-23.1
