time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2022-01-01,55.8,58.1,,-27.8,266.4,273.0,,-26.1
2022-01-02,55.8,58.1,0.0,-23.9,266.4,273.0,0.0,-23.2
2022-01-03,59.0,61.4,3.3,-23.2,266.5,273.1,0.1,-23.2
2022-01-04,2254.4,2300.7,2239.3,-21.7,1082.2,1105.1,832.0,-21.7
2022-01-05,4844.0,4942.0,2641.3,-21.6,1410.0,1439.5,334.4,-21.6
2022-01-06,4844.0,4942.1,0.0,-27.6,1410.0,1439.5,0.0,-27.7
2022-01-07,4844.0,4942.1,0.0,-24.2,1410.0,1439.5,0.0,-24.2
2022-01-08,4844.0,4942.1,0.0,-24.9,1410.0,1439.5,0.0,-24.9
2022-01-09,5061.0,5163.4,221.3,-20.6,1427.7,1457.5,18.1,-20.6
2022-01-10,6511.0,6642.4,1479.0,-20.6,1761.0,1797.5,340.0,-20.6
2022-01-11,6511.0,6642.4,0.0,-25.8,1761.0,1797.5,0.0,-25.9
2022-01-12,6511.0,6642.4,0.0,-33.5,1761.0,1797.5,0.0,-33.5
2022-01-13,6511.0,6642.4,0.0,-35.4,1761.0,1797.5,0.0,-35.0
2022-01-14,,,,-35.6,1761.0,1797.5,0.0,-35.5
2022-01-15,,,,-28.1,1761.0,1797.5,0.0,-28.1
2022-01-16,,,,-24.1,1761.0,1797.5,0.0,-24.1
2022-01-17,,,,-27.6,1761.0,1797.5,0.0,-27.4
2022-01-18,,,,-28.4,1761.0,1797.5,0.0,-28.2
2022-01-19,,,,-17.6,1761.0,1797.5,0.0,-17.6
2022-01-20,,,,-17.2,1761.0,1797.5,0.0,-17.2
2022-01-21,,,,-34.8,1761.0,1797.5,0.0,-34.9
2022-01-22,,,,-40.8,1761.0,1797.5,0.0,-40.7
2022-01-23,,,,-31.9,1761.0,1797.5,0.0,-31.9
2022-01-24,,,,-25.5,1761.0,1797.5,0.0,-25.5
2022-01-25,,,,-33.6,1761.0,1797.5,0.0,-33.4
2022-01-26,,,,-30.3,1761.0,1797.5,0.0,-30.0
2022-01-27,,,,-32.5,1761.0,1797.5,0.0,-32.2
2022-01-28,,,,-32.2,1761.0,1797.5,0.0,-30.9
2022-01-29,,,,-31.2,1761.0,1797.5,0.0,-31.2
2022-01-30,,,,-37.0,1761.0,1797.5,0.0,-37.0
2022-01-31,,,,-26.8,1761.0,1797.5,0.0,-26.9
2022-02-01,,,,-37.6,1761.0,1797.5,0.0,-37.2
2022-02-02,,,,-43.0,,,,-42.8
2022-02-03,,,,-31.0,,,,-30.4
2022-02-04,,,,-31.5,1761.0,1797.5,,-31.7
2022-02-05,,,,-34.6,1761.0,1797.5,0.0,-34.5
2022-02-06,,,,-26.6,1761.0,1797.5,0.0,-26.6
2022-02-07,7270.5,7419.2,,-33.3,1786.2,1823.2,25.7,-33.4
2022-02-08,7330.0,7479.8,60.6,-42.9,1788.0,1825.0,1.8,-42.9
2022-02-09,7330.0,7479.8,0.0,-37.4,1788.0,1825.0,0.0,-37.4
2022-02-10,7330.0,7479.8,0.0,-29.2,1788.0,1825.0,0.0,-28.8
2022-02-11,7330.0,7479.8,0.0,-26.4,1788.0,1825.0,0.0,-25.9
2022-02-12,7330.0,7479.8,0.0,-24.8,1788.0,1825.0,0.0,-24.6
2022-02-13,7330.0,7479.8,0.0,-23.9,1788.0,1825.0,0.0,-23.8
2022-02-14,7330.0,7479.8,0.0,-28.4,1788.0,1825.0,0.0,-28.1
2022-02-15,7330.0,7479.8,0.0,-26.2,1788.0,1825.0,0.0,-26.0
2022-02-16,7330.0,7479.8,0.0,-28.2,1788.0,1825.0,0.0,-28.0
2022-02-17,7330.0,7479.8,0.0,-30.0,1788.0,1825.0,0.0,-29.8
2022-02-18,7331.1,7481.0,1.2,-26.1,1788.5,1825.6,0.6,-25.9
2022-02-19,7480.4,7633.3,152.3,-27.1,1796.8,1834.1,8.5,-27.0
2022-02-20,7708.0,7865.4,232.1,-27.9,1811.0,1848.5,14.5,-27.8
2022-02-21,7708.0,7865.4,0.0,-35.4,1811.0,1848.5,0.0,-34.7
2022-02-22,,,,-29.2,1811.0,1848.5,0.0,-29.1
2022-02-23,,,,-32.6,1811.0,1848.5,0.0,-32.4
2022-02-24,,,,-27.7,1811.0,1848.5,0.0,-27.5
2022-02-25,7922.2,8083.9,,-25.2,1836.0,1874.0,25.5,-25.1
2022-02-26,7981.0,8143.9,60.0,-26.1,1852.0,1890.4,16.4,-25.9
2022-02-27,7990.2,8153.3,9.4,-26.3,1864.4,1903.0,12.6,-26.3
2022-02-28,7999.0,8162.3,8.9,-26.2,1884.4,1923.4,20.4,-26.1
2022-03-01,7999.0,8162.3,0.0,-26.8,1901.7,1941.0,17.6,-26.8
2022-03-02,7999.0,8162.3,0.0,-23.2,2013.2,2054.8,113.8,-23.2
2022-03-03,7999.0,8162.3,0.0,-26.3,2023.0,2064.7,9.9,-26.1
2022-03-04,7999.0,8162.3,0.0,-23.1,2023.0,2064.7,0.0,-23.1
2022-03-05,7999.0,8162.3,0.0,-21.6,2031.1,2073.0,8.2,-21.6
2022-03-06,7999.0,8162.3,0.0,-29.1,2035.0,2077.0,4.0,-29.1
2022-03-07,,,,-35.1,2035.0,2077.0,0.0,-34.3
2022-03-08,,,,-32.3,2035.0,2077.0,0.0,-30.5
2022-03-09,,,,-36.3,,,,-35.3
2022-03-10,,,,-33.4,,,,-32.6
2022-03-11,,,,-26.6,,,,-26.5
2022-03-12,7999.0,8162.3,,-22.6,,,,-22.4
2022-03-13,7999.0,8162.3,0.0,-25.3,2051.2,2093.6,,-25.0
2022-03-14,7999.0,8162.3,0.0,-25.8,2063.6,2106.1,12.6,-25.8
2022-03-15,7999.0,8162.3,0.0,-42.1,2065.0,2107.6,1.4,-41.9
2022-03-16,,,,-44.4,2065.0,2107.6,0.0,-44.3
2022-03-17,,,,-43.3,2065.0,2107.6,0.0,-46.3
2022-03-18,,,,-36.8,2065.0,2107.6,0.0,
2022-03-19,,,,-32.9,,,,
2022-03-20,,,,-33.4,,,,
2022-03-21,,,,-32.7,,,,
2022-03-22,,,,-24.2,,,,
2022-03-23,,,,-24.4,2065.0,2107.6,,
2022-03-24,,,,-29.2,2065.0,2107.6,0.0,
2022-03-25,,,,-26.0,2065.0,2107.6,0.0,
2022-03-26,,,,-25.2,2065.0,2107.6,0.0,
2022-03-27,7999.0,8162.3,,-22.0,2065.0,2107.6,0.0,
2022-03-28,7999.0,8162.3,0.0,-19.9,2065.0,2107.6,0.0,
2022-03-29,7999.0,8162.3,0.0,-18.1,2065.0,2107.6,0.0,
2022-03-30,7999.0,8162.3,0.0,-15.3,2065.0,2107.6,0.0,
2022-03-31,7999.0,8162.3,0.0,-15.1,2065.0,2107.6,0.0,
2022-04-01,7999.0,8162.3,0.0,-13.0,2065.0,2107.6,0.0,
2022-04-02,7999.0,8162.3,0.0,-12.9,2065.0,2107.6,0.0,
2022-04-03,7999.0,8162.3,0.0,-15.2,2065.0,2107.6,0.0,
2022-04-04,7999.0,8162.3,0.0,-11.6,2065.0,2107.6,0.0,
2022-04-05,7999.0,8162.3,0.0,-13.3,2065.0,2107.6,0.0,
2022-04-06,7999.0,8162.3,0.0,-18.7,2065.0,2107.6,0.0,
2022-04-07,7999.0,8162.3,0.0,-19.5,2065.0,2107.6,0.0,
2022-04-08,7999.0,8162.3,0.0,-24.8,2065.0,2107.6,0.0,
2022-04-09,7999.0,8162.3,0.0,-26.6,2065.0,2107.6,0.0,
2022-04-10,7999.0,8162.3,0.0,-21.5,2065.0,2107.6,0.0,
2022-04-11,7999.0,8162.3,0.0,-24.4,2065.0,2107.6,0.0,
2022-04-12,7999.0,8162.3,0.0,-24.6,2065.0,2107.6,0.0,
2022-04-13,7999.0,8162.3,0.0,-17.1,2065.0,2107.6,0.0,
2022-04-14,7999.0,8162.3,0.0,-15.2,2065.0,2107.6,0.0,
2022-04-15,7999.0,8162.3,0.0,-14.3,2065.0,2107.6,0.0,
2022-04-16,7999.0,8162.3,0.0,-13.4,2065.0,2107.6,0.0,
2022-04-17,7999.0,8162.3,0.0,-12.8,2065.0,2107.6,0.0,
2022-04-18,7999.0,8162.3,0.0,-18.3,2065.0,2107.6,0.0,
