time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2021-06-17,0.0,0.0,,-8.7,0.0,0.0,,-8.7
2021-06-18,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-12.0
2021-06-19,0.0,0.0,0.0,-10.5,0.0,0.0,0.0,-10.5
2021-06-20,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.7
2021-06-21,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,-6.7
2021-06-22,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,-11.2
2021-06-23,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.8
2021-06-24,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,-1.2
2021-06-25,0.0,0.0,0.0,-4.7,0.0,0.0,0.0,-4.8
2021-06-26,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-5.0
2021-06-27,0.0,0.0,0.0,-4.1,0.0,0.0,0.0,-4.1
2021-06-28,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,-1.0
2021-06-29,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.1
2021-06-30,0.0,0.0,0.0,-8.3,0.0,0.0,0.0,-8.5
2021-07-01,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.1
2021-07-02,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.7
2021-07-03,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,-3.8
2021-07-04,0.0,0.0,0.0,-2.3,0.0,0.0,0.0,-2.2
2021-07-05,0.0,0.0,0.0,-5.6,0.0,0.0,0.0,-5.7
2021-07-06,0.0,0.0,0.0,-7.2,0.0,0.0,0.0,-7.2
2021-07-07,0.0,0.0,0.0,-9.5,0.0,0.0,0.0,-9.6
2021-07-08,0.0,0.0,0.0,-10.2,0.0,0.0,0.0,-10.2
2021-07-09,0.0,0.0,0.0,-10.8,0.0,0.0,0.0,-10.8
2021-07-10,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-7.9
2021-07-11,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,-0.8
2021-07-12,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,-0.7
2021-07-13,0.0,0.0,0.0,-3.1,0.0,0.0,0.0,-2.9
2021-07-14,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,-2.1
2021-07-15,0.0,0.0,0.0,-4.4,0.0,0.0,0.0,-4.4
2021-07-16,0.0,0.0,0.0,-6.3,0.0,0.0,0.0,-6.2
2021-07-17,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,-3.5
2021-07-18,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,-1.8
2021-07-19,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.3
2021-07-20,0.2,0.2,0.2,-3.7,0.0,0.0,0.0,-3.7
2021-07-21,0.2,0.2,0.0,-4.2,0.0,0.0,0.0,-4.1
2021-07-22,0.2,0.2,0.0,-8.2,0.0,0.0,0.0,-8.1
2021-07-23,0.2,0.2,0.0,-5.6,0.0,0.0,0.0,-5.6
2021-07-24,0.2,0.2,0.0,-7.1,0.0,0.0,0.0,-7.1
2021-07-25,0.2,0.2,0.0,-8.5,0.0,0.0,0.0,-8.4
2021-07-26,0.2,0.2,0.0,-4.7,0.0,0.0,0.0,-4.6
2021-07-27,1.2,1.3,1.1,1.3,1.2,1.3,1.3,1.4
2021-07-28,1.8,2.1,0.7,-0.2,2.0,2.3,1.0,-0.2
2021-07-29,1.8,2.1,0.0,-1.0,2.0,2.3,0.0,-1.0
2021-07-30,1.8,2.1,0.0,-0.6,2.0,2.3,0.0,-0.5
2021-07-31,1.8,2.1,0.0,-0.0,2.0,2.3,0.0,0.0
2021-08-01,1.8,2.1,0.0,-1.8,2.0,2.3,0.0,-1.8
2021-08-02,1.8,2.1,0.0,-1.3,2.0,2.3,0.0,-1.3
2021-08-03,1.8,2.1,0.0,-3.7,2.0,2.3,0.0,-3.7
2021-08-04,1.8,2.1,0.0,-4.2,2.0,2.3,0.0,-4.2
2021-08-05,1.8,2.1,0.0,-4.2,2.0,2.3,0.0,-4.2
2021-08-06,1.8,2.1,0.0,-3.9,2.0,2.3,0.0,-3.9
2021-08-07,1.8,2.1,0.0,-4.8,2.0,2.3,0.0,-4.8
2021-08-08,1.9,2.2,0.1,-4.3,2.0,2.3,0.0,-4.3
2021-08-09,2.0,2.3,0.1,-5.5,2.0,2.3,0.0,-5.4
2021-08-10,2.0,2.3,0.0,-5.6,2.0,2.3,0.0,-5.6
2021-08-11,2.0,2.3,0.0,-1.6,2.0,2.3,0.0,-1.6
2021-08-12,2.0,2.3,0.0,-3.4,2.0,2.3,0.0,-3.4
2021-08-13,2.1,2.3,0.1,-0.7,2.1,2.4,0.1,-0.7
2021-08-14,7.3,8.3,6.0,1.1,7.5,8.5,6.1,1.2
2021-08-15,13.9,15.9,7.6,-0.3,14.4,16.4,7.9,-0.3
2021-08-16,14.2,16.2,0.3,-0.5,14.6,16.6,0.2,-0.5
2021-08-17,14.2,16.2,0.0,-0.9,14.6,16.6,0.0,-0.8
2021-08-18,14.5,16.6,0.4,0.8,14.8,16.8,0.2,0.8
2021-08-19,14.6,16.7,0.1,0.7,14.8,16.9,0.0,0.7
2021-08-20,14.6,16.7,0.0,-1.5,14.8,16.9,0.0,-1.5
2021-08-21,14.6,16.7,0.0,-1.5,14.8,16.9,0.0,-1.4
2021-08-22,14.6,16.7,0.0,-0.5,14.8,16.9,0.0,-0.5
2021-08-23,14.6,16.7,0.0,-4.4,14.8,16.9,0.0,-4.3
2021-08-24,14.6,16.7,0.0,-2.2,14.8,16.9,0.0,-2.1
2021-08-25,14.6,16.7,0.0,-2.0,14.8,16.9,0.0,-2.0
2021-08-26,14.6,16.7,0.0,-2.4,14.8,16.9,0.0,-2.4
