time,precip_u,precip_u_cor,tp_u,t_u
2021-01-01,825.0,855.2,,-2.7
2021-01-02,825.0,855.2,0.0,-3.1
2021-01-03,825.0,855.2,0.0,-3.1
2021-01-04,,,,-3.5
2021-01-05,,,,-3.6
2021-01-06,,,,-3.6
2021-01-07,,,,-3.8
2021-01-08,,,,-3.3
2021-01-09,,,,-2.9
2021-01-10,,,,-2.8
2021-01-11,,,,-2.7
2021-01-12,,,,-2.6
2021-01-13,,,,-2.7
2021-01-14,,,,-2.7
2021-01-15,,,,-2.8
2021-01-16,,,,-3.2
2021-01-17,,,,-3.6
2021-01-18,,,,-3.9
2021-01-19,,,,-4.1
2021-01-20,,,,-4.0
2021-01-21,,,,-4.2
2021-01-22,,,,-4.6
2021-01-23,,,,-5.0
2021-01-24,,,,-5.0
2021-01-25,,,,-5.1
2021-01-26,,,,-5.3
2021-01-27,,,,-5.8
2021-01-28,,,,-5.8
2021-01-29,,,,-5.2
2021-01-30,,,,-4.8
2021-01-31,,,,-4.6
2021-02-01,,,,-5.0
2021-02-02,,,,-5.4
2021-02-03,,,,-6.8
2021-02-04,,,,-8.0
2021-02-05,,,,-8.4
2021-02-06,,,,-8.2
2021-02-07,,,,-6.8
2021-02-08,,,,-6.2
2021-02-09,,,,-5.8
2021-02-10,,,,-5.6
2021-02-11,,,,-5.9
2021-02-12,,,,-5.9
2021-02-13,,,,-5.6
2021-02-14,,,,-5.2
2021-02-15,,,,-5.4
2021-02-16,,,,-6.6
2021-02-17,,,,-7.6
2021-02-18,,,,-8.3
2021-02-19,,,,-8.4
2021-02-20,,,,-9.2
2021-02-21,,,,-9.4
2021-02-22,,,,-8.4
2021-02-23,,,,-8.4
2021-02-24,,,,-9.6
2021-02-25,,,,-8.8
2021-02-26,,,,-8.4
2021-02-27,,,,-7.8
2021-02-28,,,,-8.1
2021-03-01,,,,-8.2
2021-03-02,,,,-8.0
2021-03-03,,,,-7.4
2021-03-04,,,,-6.4
2021-03-05,,,,-5.1
2021-03-06,,,,-4.9
2021-03-07,,,,-4.6
2021-03-08,,,,-4.4
2021-03-09,,,,-5.1
2021-03-10,,,,-5.7
2021-03-11,,,,-6.3
2021-03-12,,,,-7.2
2021-03-13,,,,-8.1
2021-03-14,,,,-7.6
2021-03-15,,,,-6.4
2021-03-16,,,,-5.7
2021-03-17,,,,-5.3
2021-03-18,,,,-4.8
2021-03-19,,,,-4.7
2021-03-20,,,,-4.8
2021-03-21,,,,-4.8
2021-03-22,,,,-4.8
2021-03-23,,,,-4.9
2021-03-24,,,,-5.3
2021-03-25,,,,-5.6
2021-03-26,,,,-6.1
2021-03-27,,,,-6.8
2021-03-28,,,,-7.5
2021-03-29,,,,-7.9
2021-03-30,,,,-8.1
2021-03-31,,,,-7.6
2021-04-01,,,,-7.0
2021-04-02,,,,-6.6
2021-04-03,,,,-6.2
2021-04-04,,,,-5.8
2021-04-05,,,,-5.4
2021-04-06,,,,-5.0
2021-04-07,,,,-4.6
2021-04-08,,,,-4.3
2021-04-09,,,,
2021-04-10,,,,
2021-04-11,,,,
2021-04-12,,,,
2021-04-13,,,,
2021-04-14,,,,
2021-04-15,,,,
2021-04-16,,,,
2021-04-17,,,,
2021-04-18,,,,
2021-04-19,,,,
2021-04-20,,,,
2021-04-21,,,,
2021-04-22,,,,
2021-04-23,,,,
2021-04-24,,,,
2021-04-25,,,,
2021-04-26,,,,
2021-04-27,,,,
2021-04-28,,,,
2021-04-29,,,,
2021-04-30,,,,
2021-05-01,,,,
2021-05-02,,,,
2021-05-03,,,,
2021-05-04,,,,
2021-05-05,,,,
2021-05-06,,,,
2021-05-07,,,,
2021-05-08,,,,
2021-05-09,,,,
2021-05-10,,,,
2021-05-11,,,,
2021-05-12,,,,
2021-05-13,,,,
2021-05-14,,,,
2021-05-15,,,,
2021-05-16,,,,
2021-05-17,,,,
2021-05-18,,,,
2021-05-19,,,,
2021-05-20,,,,
2021-05-21,,,,
2021-05-22,,,,
2021-05-23,,,,
2021-05-24,,,,
2021-05-25,,,,
2021-05-26,,,,
2021-05-27,,,,
2021-05-28,,,,
2021-05-29,,,,
2021-05-30,,,,
2021-05-31,,,,
2021-06-01,,,,
2021-06-02,,,,
2021-06-03,,,,
2021-06-04,,,,
2021-06-05,,,,
2021-06-06,,,,
2021-06-07,,,,
2021-06-08,,,,
2021-06-09,,,,
2021-06-10,,,,
2021-06-11,,,,
2021-06-12,,,,
2021-06-13,,,,
2021-06-14,,,,
2021-06-15,,,,
2021-06-16,,,,
2021-06-17,,,,
2021-06-18,,,,
2021-06-19,,,,
2021-06-20,,,,
2021-06-21,,,,
2021-06-22,,,,
2021-06-23,,,,
2021-06-24,,,,
2021-06-25,,,,
2021-06-26,,,,
2021-06-27,,,,
2021-06-28,,,,
2021-06-29,,,,
2021-06-30,,,,
2021-07-01,,,,
2021-07-02,,,,
2021-07-03,,,,
2021-07-04,,,,
2021-07-05,,,,
2021-07-06,,,,
2021-07-07,,,,
2021-07-08,,,,
2021-07-09,,,,
2021-07-10,,,,
2021-07-11,,,,
2021-07-12,,,,
2021-07-13,,,,
2021-07-14,,,,
2021-07-15,,,,
2021-07-16,,,,
2021-07-17,,,,
2021-07-18,,,,
2021-07-19,,,,
2021-07-20,,,,
2021-07-21,,,,
2021-07-22,,,,
2021-07-23,,,,
2021-07-24,,,,
2021-07-25,,,,
2021-07-26,,,,
2021-07-27,,,,
2021-07-28,,,,
2021-07-29,,,,
2021-07-30,,,,
2021-07-31,,,,
2021-08-01,,,,
2021-08-02,,,,
2021-08-03,,,,
2021-08-04,,,,
2021-08-05,,,,
2021-08-06,,,,
2021-08-07,,,,
2021-08-08,,,,
2021-08-09,,,,
2021-08-10,,,,
2021-08-11,,,,
2021-08-12,,,,
2021-08-13,,,,
2021-08-14,,,,
2021-08-15,,,,
2021-08-16,,,,
2021-08-17,,,,
2021-08-18,,,,
2021-08-19,,,,
2021-08-20,,,,
2021-08-21,,,,
2021-08-22,,,,
2021-08-23,,,,
2021-08-24,,,,
2021-08-25,,,,
2021-08-26,,,,
2021-08-27,,,,
2021-08-28,,,,
2021-08-29,,,,
2021-08-30,,,,
2021-08-31,,,,
2021-09-01,0.0,0.0,,3.5
2021-09-02,0.8,0.8,0.8,2.5
2021-09-03,1.6,1.8,1.0,1.8
2021-09-04,1.8,2.0,0.2,2.3
2021-09-05,1.8,2.0,0.0,1.6
2021-09-06,1.8,2.0,0.0,-0.1
2021-09-07,1.8,2.0,0.0,1.1
2021-09-08,1.8,2.0,0.0,2.1
2021-09-09,1.8,2.0,0.0,1.3
2021-09-10,2.2,2.4,0.5,1.1
2021-09-11,6.5,7.2,4.8,2.0
2021-09-12,20.4,21.9,14.7,-0.4
2021-09-13,21.0,22.6,0.7,-4.0
2021-09-14,21.0,22.6,0.0,-2.7
2021-09-15,21.0,22.6,0.0,-2.6
2021-09-16,21.0,22.6,0.0,-2.5
2021-09-17,21.0,22.6,0.0,-1.4
2021-09-18,21.1,22.7,0.1,-1.5
2021-09-19,21.8,23.5,0.8,-0.1
2021-09-20,22.2,23.9,0.4,-5.1
2021-09-21,22.2,23.9,0.0,-5.7
2021-09-22,22.6,24.4,0.5,-0.5
2021-09-23,25.2,27.3,2.9,-1.7
2021-09-24,25.2,27.3,0.0,-7.5
2021-09-25,25.2,27.3,0.0,-5.0
2021-09-26,25.2,27.3,0.0,-7.5
2021-09-27,25.2,27.3,0.0,-9.3
2021-09-28,25.2,27.3,0.0,-8.0
2021-09-29,25.2,27.3,0.0,-8.0
2021-09-30,25.2,27.3,0.0,-6.2
2021-10-01,25.2,27.3,0.0,-3.0
2021-10-02,25.2,27.3,0.0,2.2
2021-10-03,25.2,27.3,0.0,-1.1
2021-10-04,25.2,27.3,0.0,-4.3
2021-10-05,25.2,27.3,0.0,-3.8
2021-10-06,25.2,27.3,0.0,-4.4
2021-10-07,25.2,27.3,0.0,-3.9
2021-10-08,25.2,27.3,0.0,-5.4
2021-10-09,25.2,27.3,0.0,-7.2
2021-10-10,25.2,27.3,0.0,-4.1
2021-10-11,25.2,27.3,0.0,-0.8
2021-10-12,25.2,27.3,0.0,-2.0
2021-10-13,25.2,27.3,0.0,-1.2
2021-10-14,25.2,27.3,0.0,-3.1
2021-10-15,25.2,27.3,0.0,-2.5
2021-10-16,25.2,27.3,0.0,-3.4
2021-10-17,25.2,27.3,0.0,-6.7
2021-10-18,25.2,27.3,0.0,-8.1
2021-10-19,25.2,27.3,0.0,-3.8
2021-10-20,25.2,27.3,0.0,-6.9
2021-10-21,25.2,27.3,0.0,-3.8
2021-10-22,25.3,27.4,0.1,1.6
2021-10-23,25.8,28.0,0.6,-4.6
2021-10-24,25.8,28.0,0.0,-7.6
2021-10-25,25.8,28.0,0.0,-8.1
2021-10-26,25.8,28.0,0.0,-5.1
2021-10-27,25.8,28.0,0.0,-6.2
2021-10-28,25.8,28.0,0.0,-4.4
2021-10-29,25.8,28.0,0.0,-3.6
2021-10-30,25.8,28.0,0.0,-4.4
2021-10-31,25.8,28.0,0.0,-5.1
2021-11-01,25.8,28.0,0.0,-4.2
2021-11-02,25.8,28.0,0.0,-1.1
2021-11-03,25.8,28.0,0.0,-2.1
2021-11-04,25.8,28.0,0.0,-4.0
2021-11-05,25.8,28.0,0.0,-6.8
2021-11-06,25.8,28.0,0.0,-10.7
2021-11-07,25.8,28.0,0.0,-10.8
2021-11-08,25.8,28.0,0.0,-11.5
2021-11-09,25.8,28.0,0.0,-19.4
2021-11-10,25.8,28.0,0.0,-19.8
2021-11-11,25.8,28.0,0.0,-17.4
2021-11-12,25.8,28.0,0.0,-17.8
2021-11-13,25.8,28.0,0.0,-16.0
2021-11-14,26.1,28.3,0.3,-18.2
2021-11-15,26.2,28.4,0.1,-18.3
