time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2021-08-17,0.2,0.2,,-4.5,0.2,0.2,,-4.5
2021-08-18,0.2,0.2,0.0,-6.3,0.2,0.2,0.0,-6.2
2021-08-19,0.2,0.2,0.0,-3.5,0.2,0.2,0.0,-3.6
2021-08-20,0.2,0.2,0.0,-5.0,0.2,0.2,0.0,-5.0
2021-08-21,0.2,0.2,0.0,-4.8,0.2,0.2,0.0,-4.6
2021-08-22,0.2,0.2,0.0,-4.1,0.2,0.2,0.0,-4.1
2021-08-23,0.2,0.2,0.0,-4.9,0.2,0.2,0.0,-5.0
2021-08-24,0.2,0.2,0.0,-5.1,0.2,0.2,0.0,-5.1
2021-08-25,0.2,0.2,0.0,-4.0,0.2,0.2,0.0,-4.0
2021-08-26,0.2,0.2,0.0,-5.6,0.2,0.2,0.0,-5.6
2021-08-27,0.2,0.2,0.0,-7.4,0.2,0.2,0.0,-7.5
2021-08-28,0.2,0.2,0.0,-9.7,0.2,0.2,0.0,-9.8
2021-08-29,0.2,0.2,0.0,-11.7,0.2,0.2,0.0,-11.8
2021-08-30,0.2,0.2,0.0,-16.6,0.2,0.2,0.0,-16.6
2021-08-31,0.2,0.2,0.0,-17.5,0.2,0.2,0.0,-17.6
2021-09-01,0.2,0.2,0.0,-22.0,0.2,0.2,0.0,-22.0
2021-09-02,0.2,0.2,0.0,-15.4,0.2,0.2,0.0,-15.4
2021-09-03,0.2,0.2,0.0,-18.8,0.2,0.2,0.0,-18.8
2021-09-04,0.2,0.2,0.0,-15.9,0.2,0.2,0.0,-16.0
2021-09-05,0.2,0.2,0.0,-16.6,0.2,0.2,0.0,-16.7
2021-09-06,0.2,0.2,0.0,-14.8,0.2,0.2,0.0,-14.9
2021-09-07,0.2,0.2,0.0,-16.5,0.2,0.2,0.0,-16.6
2021-09-08,0.2,0.2,0.0,-23.9,0.2,0.2,0.0,-23.9
2021-09-09,0.2,0.2,0.0,-27.0,0.2,0.2,0.0,-27.0
2021-09-10,0.2,0.2,0.0,-28.6,0.2,0.2,0.0,-28.6
2021-09-11,0.2,0.2,0.0,-24.9,0.2,0.2,0.0,-25.0
2021-09-12,0.7,0.7,0.5,-16.9,0.2,0.2,0.0,-16.9
2021-09-13,0.8,0.8,0.2,-18.9,0.2,0.2,0.0,-19.0
2021-09-14,0.8,0.8,0.0,-23.7,0.2,0.2,0.0,-23.4
2021-09-15,0.8,0.8,0.0,-22.1,0.2,0.2,0.0,-22.0
2021-09-16,0.8,0.8,0.0,-27.6,0.2,0.2,0.0,-27.7
2021-09-17,0.8,0.8,0.0,-27.5,0.2,0.2,0.0,-27.6
2021-09-18,0.8,0.8,0.0,-28.2,0.2,0.2,0.0,-28.3
2021-09-19,0.8,0.8,0.0,-29.1,0.2,0.2,0.0,-29.0
2021-09-20,0.8,0.8,0.0,-30.3,0.2,0.2,0.0,-30.3
2021-09-21,0.8,0.8,0.0,-29.9,0.2,0.2,0.0,-29.9
2021-09-22,0.8,0.8,0.0,-24.5,0.2,0.2,0.0,-24.5
2021-09-23,0.8,0.8,0.0,-21.3,0.2,0.2,0.0,-21.3
2021-09-24,0.8,0.8,0.0,-22.6,0.2,0.2,0.0,-22.6
2021-09-25,0.8,0.8,0.0,-25.0,0.2,0.2,0.0,-25.0
2021-09-26,0.8,0.8,0.0,-26.1,0.2,0.2,0.0,-26.1
2021-09-27,0.8,0.8,0.0,-28.8,0.2,0.2,0.0,-28.8
2021-09-28,0.8,0.8,0.0,-30.1,0.2,0.2,0.0,-30.2
2021-09-29,0.8,0.8,0.0,-24.2,0.2,0.2,0.0,-24.2
2021-09-30,0.8,0.8,0.0,-22.6,0.2,0.2,0.0,-22.6
2021-10-01,0.8,0.8,0.0,-15.3,0.2,0.2,0.0,-15.3
2021-10-02,0.8,0.8,0.0,-17.4,0.2,0.2,0.0,-17.4
2021-10-03,0.8,0.8,0.0,-24.0,0.2,0.2,0.0,-24.1
2021-10-04,0.8,0.8,0.0,-24.0,0.2,0.2,0.0,-24.0
2021-10-05,0.8,0.8,0.0,-25.0,0.2,0.2,0.0,-25.0
2021-10-06,0.8,0.8,0.0,-23.5,0.2,0.2,0.0,-23.5
2021-10-07,0.8,0.8,0.0,-26.9,0.2,0.2,0.0,-26.9
2021-10-08,0.8,0.8,0.0,-27.7,0.2,0.2,0.0,-27.7
2021-10-09,0.8,0.8,0.0,-24.6,0.2,0.2,0.0,-24.6
2021-10-10,0.8,0.8,0.0,-16.4,0.2,0.2,0.0,-16.5
2021-10-11,0.8,0.8,0.0,-16.9,0.2,0.2,0.0,-17.0
2021-10-12,0.8,0.8,0.0,-17.3,0.2,0.2,0.0,-17.3
2021-10-13,0.8,0.8,0.0,-17.4,0.2,0.2,0.0,-17.4
2021-10-14,0.8,0.8,0.0,-13.4,0.2,0.2,0.0,-13.5
2021-10-15,0.8,0.8,0.0,-23.2,0.2,0.2,0.0,-23.2
2021-10-16,0.8,0.8,0.0,-28.7,0.2,0.2,0.0,-28.7
2021-10-17,0.8,0.8,0.0,-33.5,0.2,0.2,0.0,-33.6
2021-10-18,0.8,0.8,0.0,-25.4,0.2,0.2,0.0,-25.4
2021-10-19,0.8,0.8,0.0,-15.6,0.2,0.2,0.0,-15.5
2021-10-20,0.8,0.8,0.0,-13.1,0.2,0.2,0.0,-13.2
2021-10-21,0.8,0.8,0.0,-22.7,0.2,0.2,0.0,-22.5
2021-10-22,0.8,0.8,0.0,-36.9,0.2,0.2,0.0,-36.4
