time,precip_u,precip_u_cor,tp_u,t_u
2020-08-31,0.4,0.0,,2.1
2020-09-01,0.4,0.0,0.0,-0.6
2020-09-02,0.4,0.0,0.0,-3.2
2020-09-03,0.5,0.1,0.1,-0.7
2020-09-04,19.9,22.4,22.3,2.5
2020-09-05,35.1,39.6,17.2,2.1
2020-09-06,54.5,61.2,21.6,1.7
2020-09-07,59.9,67.4,6.3,-2.2
2020-09-08,60.4,68.0,0.5,-2.8
2020-09-09,60.6,68.2,0.2,-0.6
2020-09-10,60.6,68.2,0.0,-5.4
2020-09-11,60.6,68.2,0.0,-9.1
2020-09-12,60.6,68.2,0.0,-10.9
2020-09-13,60.6,68.2,0.0,-10.5
2020-09-14,60.6,68.2,0.0,-6.5
2020-09-15,60.6,68.2,0.0,0.5
2020-09-16,60.6,68.2,0.0,-0.0
2020-09-17,60.6,68.2,0.0,-4.8
2020-09-18,60.6,68.2,0.0,-2.9
2020-09-19,60.6,68.2,0.0,-5.1
2020-09-20,60.6,68.2,0.0,-7.4
2020-09-21,60.6,68.2,0.0,-7.6
2020-09-22,60.6,68.2,0.0,-9.2
2020-09-23,60.6,68.2,0.0,-11.8
2020-09-24,60.6,68.2,0.0,-0.8
2020-09-25,60.6,68.2,0.0,-0.7
2020-09-26,60.6,68.2,0.0,-4.8
2020-09-27,60.6,68.2,0.0,-5.3
2020-09-28,60.6,68.2,0.0,-7.5
2020-09-29,60.6,68.2,0.0,-13.7
2020-09-30,60.6,68.2,0.0,-14.0
2020-10-01,60.6,68.2,0.0,-6.0
2020-10-02,60.6,68.2,0.0,-3.0
2020-10-03,60.6,68.2,0.0,-7.1
2020-10-04,60.6,68.2,0.0,-14.6
2020-10-05,60.6,68.2,0.0,-14.8
2020-10-06,60.6,68.2,0.0,-15.7
2020-10-07,60.6,68.2,0.0,-10.5
2020-10-08,60.6,68.2,0.0,-1.5
2020-10-09,60.6,68.2,0.0,1.2
2020-10-10,60.6,68.2,0.0,-0.2
2020-10-11,60.6,68.2,0.0,-2.6
2020-10-12,61.3,69.0,0.7,1.4
2020-10-13,61.6,69.4,0.4,-1.6
2020-10-14,61.6,69.4,0.0,-5.1
2020-10-15,61.6,69.4,0.0,-1.7
2020-10-16,63.2,71.2,1.8,2.7
2020-10-17,66.3,74.7,3.5,1.2
2020-10-18,67.7,76.2,1.6,3.8
2020-10-19,67.8,76.4,0.1,-0.2
2020-10-20,67.8,76.4,0.0,-2.2
2020-10-21,67.8,76.4,0.0,-11.1
2020-10-22,67.8,76.4,0.0,-13.6
2020-10-23,67.8,76.4,0.0,-9.8
2020-10-24,67.8,76.4,0.0,-12.2
2020-10-25,67.8,76.4,0.0,-9.0
2020-10-26,67.8,76.4,0.0,-7.2
2020-10-27,67.8,76.4,0.0,-16.7
2020-10-28,67.8,76.4,0.0,-12.9
2020-10-29,67.8,76.4,0.0,-9.2
2020-10-30,67.8,76.4,0.0,-13.0
2020-10-31,67.8,76.4,0.0,-15.4
2020-11-01,67.8,76.4,0.0,-13.6
2020-11-02,67.8,76.4,0.0,-16.0
2020-11-03,67.8,76.4,0.0,-2.1
2020-11-04,67.8,76.4,0.0,-8.3
2020-11-05,67.8,76.4,0.0,-16.6
2020-11-06,67.8,76.4,0.0,-14.1
2020-11-07,67.8,76.4,0.0,-9.4
2020-11-08,67.8,76.4,0.0,-18.3
2020-11-09,67.8,76.4,0.0,-18.4
2020-11-10,67.8,76.4,0.0,-17.9
2020-11-11,67.8,76.4,0.0,-17.6
2020-11-12,67.8,76.4,0.0,-13.7
2020-11-13,67.8,76.4,0.0,-14.7
2020-11-14,67.8,76.4,0.0,-23.6
2020-11-15,67.8,76.4,0.0,-21.8
2020-11-16,67.8,76.4,0.0,-17.0
2020-11-17,67.8,76.4,0.0,-9.0
2020-11-18,67.8,76.4,0.0,-6.0
2020-11-19,67.8,76.4,0.0,-5.5
2020-11-20,67.8,76.4,0.0,-11.4
2020-11-21,67.8,76.4,0.0,-14.7
2020-11-22,67.8,76.4,0.0,-13.6
2020-11-23,67.8,76.4,0.0,-18.1
2020-11-24,67.8,76.4,0.0,-12.6
2020-11-25,67.8,76.4,0.0,-9.4
2020-11-26,67.8,76.4,0.0,-14.7
2020-11-27,67.8,76.4,0.0,-13.5
2020-11-28,67.8,76.4,0.0,-11.2
2020-11-29,67.8,76.4,0.0,-10.3
2020-11-30,67.8,76.4,0.0,-16.8
2020-12-01,67.8,76.4,0.0,-16.8
2020-12-02,67.8,76.4,0.0,-23.3
2020-12-03,67.8,76.4,0.0,-13.7
2020-12-04,67.8,76.4,0.0,-4.3
2020-12-05,67.8,76.4,0.0,-6.0
2020-12-06,67.8,76.4,0.0,-10.8
2020-12-07,67.8,76.4,0.0,-13.6
2020-12-08,67.8,76.4,0.0,-14.9
2020-12-09,67.8,76.4,0.0,-15.0
2020-12-10,67.8,76.4,0.0,-14.1
2020-12-11,67.8,76.4,0.0,-14.0
2020-12-12,67.8,76.4,0.0,-8.7
2020-12-13,67.8,76.4,0.0,-11.5
2020-12-14,67.8,76.4,0.0,-15.1
2020-12-15,67.8,76.4,0.0,-6.9
2020-12-16,67.8,76.4,0.0,-9.8
2020-12-17,67.8,76.4,0.0,-7.5
2020-12-18,67.8,76.4,0.0,-12.2
2020-12-19,67.8,76.4,0.0,-16.9
2020-12-20,67.8,76.4,0.0,-14.6
2020-12-21,67.8,76.4,0.0,-11.3
2020-12-22,67.8,76.4,0.0,-7.5
2020-12-23,67.8,76.4,0.0,-5.1
2020-12-24,67.8,76.4,0.0,-7.9
2020-12-25,67.8,76.4,0.0,-18.3
2020-12-26,72.5,81.1,4.8,-23.9
2020-12-27,124.0,133.7,52.6,-4.5
2020-12-28,124.4,134.1,0.4,-4.4
2020-12-29,124.4,134.1,0.0,-11.9
2020-12-30,124.4,134.1,0.0,-7.9
2020-12-31,124.4,134.1,0.0,-3.3
