time,precip_l,precip_l_cor,tp_l,t_l,precip_u,precip_u_cor,tp_u,t_u
2022-05-28,,,,-9.6,,,,-9.4
2022-05-29,0.0,0.0,,-5.0,0.0,0.0,,-4.8
2022-05-30,0.0,0.0,0.0,-8.7,0.0,0.0,0.0,-8.5
2022-05-31,0.0,0.0,0.0,-8.6,0.0,0.0,0.0,-8.6
2022-06-01,,,,,,,,
2022-06-02,,,,,,,,
2022-06-03,,,,,,,,
2022-06-04,,,,,,,,
2022-06-05,,,,,,,,
2022-06-06,,,,,,,,
2022-06-07,,,,,,,,
2022-06-08,,,,,,,,
2022-06-09,,,,,,,,
2022-06-10,,,,-10.8,,,,-10.8
2022-06-11,0.0,0.0,,-9.9,0.0,0.0,,-9.7
2022-06-12,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,-12.5
2022-06-13,,,,,,,,
2022-06-14,,,,-7.9,,,,-7.8
2022-06-15,0.0,0.0,,-8.1,0.0,0.0,,-8.0
2022-06-16,0.0,0.0,0.0,-8.7,0.0,0.0,0.0,-8.6
2022-06-17,0.0,0.0,0.0,-8.3,0.0,0.0,0.0,-8.2
2022-06-18,,,,-8.1,,,,-8.0
2022-06-19,,,,,,,,
2022-06-20,,,,,,,,
2022-06-21,,,,,,,,
2022-06-22,,,,,,,,
2022-06-23,,,,,,,,
2022-06-24,,,,-10.5,,,,-10.5
2022-06-25,,,,,,,,
2022-06-26,,,,,,,,
2022-06-27,0.0,0.0,,-7.6,0.0,0.0,,-7.5
2022-06-28,0.0,0.0,0.0,-6.6,0.0,0.0,0.0,-6.5
2022-06-29,0.0,0.0,0.0,-5.7,0.0,0.0,0.0,-5.7
2022-06-30,0.0,0.0,0.0,-8.5,0.0,0.0,0.0,-8.5
2022-07-01,0.0,0.0,0.0,-7.6,0.0,0.0,0.0,-7.6
2022-07-02,,,,-8.0,,,,-7.9
2022-07-03,,,,-8.0,,,,-8.0
2022-07-04,,,,-9.3,,,,-9.2
2022-07-05,0.0,0.0,,-7.4,0.0,0.0,,-7.4
2022-07-06,,,,-9.5,,,,-9.6
2022-07-07,0.0,0.0,,-8.1,0.0,0.0,,-8.1
2022-07-08,,,,,,,,
2022-07-09,0.0,0.0,,-7.0,0.0,0.0,,-6.8
2022-07-10,0.0,0.0,0.0,-7.9,0.0,0.0,0.0,-7.9
2022-07-11,0.0,0.0,0.0,-6.7,0.0,0.0,0.0,-6.6
2022-07-12,0.0,0.0,0.0,-8.7,0.0,0.0,0.0,-8.7
2022-07-13,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-5.9
2022-07-14,0.0,0.0,0.0,-7.2,0.0,0.0,0.0,-7.2
2022-07-15,0.0,0.0,0.0,-6.8,0.0,0.0,0.0,-6.8
2022-07-16,0.0,0.0,0.0,-5.6,0.0,0.0,0.0,-5.4
2022-07-17,0.0,0.0,0.0,-5.1,0.0,0.0,0.0,-5.0
2022-07-18,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,-3.7
2022-07-19,0.0,0.0,0.0,-3.9,0.0,0.0,0.0,-3.9
2022-07-20,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,-4.5
2022-07-21,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.0
2022-07-22,0.0,0.0,0.0,-3.4,0.0,0.0,0.0,-3.4
2022-07-23,0.0,0.0,0.0,-6.5,0.0,0.0,0.0,-6.4
2022-07-24,0.0,0.0,0.0,-7.2,0.0,0.0,0.0,-7.2
2022-07-25,0.0,0.0,0.0,-6.2,0.0,0.0,0.0,-6.1
2022-07-26,0.0,0.0,0.0,-9.1,0.0,0.0,0.0,-9.2
2022-07-27,,,,,,,,
2022-07-28,,,,,,,,
2022-07-29,,,,,,,,
2022-07-30,,,,,,,,
2022-07-31,,,,,,,,
2022-08-01,,,,,,,,
2022-08-02,,,,-8.6,,,,-8.5
2022-08-03,0.0,0.0,,-6.3,0.0,0.0,,-6.3
2022-08-04,,,,-7.2,,,,-7.3
2022-08-05,,,,-7.5,,,,-7.6
2022-08-06,,,,-8.7,,,,-8.8
2022-08-07,,,,,,,,
2022-08-08,,,,,,,,
2022-08-09,0.0,0.0,,-8.6,0.0,0.0,,-8.7
2022-08-10,,,,,,,,
2022-08-11,,,,,,,,
2022-08-12,,,,,,,,
2022-08-13,,,,,,,,
2022-08-14,,,,,,,,
2022-08-15,,,,,,,,
2022-08-16,,,,,,,,
2022-08-17,,,,,,,,
2022-08-18,,,,,,,,
2022-08-19,,,,,,,,
2022-08-20,,,,,,,,
2022-08-21,,,,,,,,
2022-08-22,,,,,,,,
2022-08-23,,,,,,,,
2022-08-24,,,,,,,,
2022-08-25,,,,,,,,
2022-08-26,,,,,,,,
2022-08-27,,,,,,,,
2022-08-28,,,,,,,,
2022-08-29,,,,,,,,
2022-08-30,,,,-7.2,,,,-7.0
2022-08-31,,,,-5.5,,,,-5.5
2022-09-01,,,,,,,,
2022-09-02,,,,,,,,
2022-09-03,0.0,0.0,,-3.2,0.0,0.0,,-3.1
2022-09-04,0.0,0.0,0.0,-7.4,0.0,0.0,0.0,-7.1
2022-09-05,0.0,0.0,0.0,-5.4,0.0,0.0,0.0,-5.3
2022-09-06,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,-2.5
2022-09-07,0.0,0.0,0.0,-7.1,0.0,0.0,0.0,-6.5
